n, x0, x1, xa,y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
0,0.603723511358,-0.263491128711,0.602066940262,17.1534676812,386.029209654,0.7575589465280133,0.07377743445632778,8.94642558216,0.0017490000000000006,0.0005090000000000927,3.700000000006476e-05,19:12:09  19-02-17
1,0.757558946528,0.0737774344563,0.526809441346,7.90247667121,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0019839999999999858,0.0004949999999999122,2.4000000000024002e-05,19:12:09  19-02-17
2,0.10419315416,0.1043311296,0.451544993496,2.11432286514,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011959999999999749,0.0004709999999998882,2.4000000000024002e-05,19:12:09  19-02-17
3,0.905987188763,0.79293942424,0.602066940262,35.3879677859,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011550000000002392,0.0005079999999999529,3.2999999999949736e-05,19:12:09  19-02-17
4,-0.169979952372,0.548683497716,0.526809441346,18.4290795185,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0017339999999999023,0.0005380000000001495,2.6999999999999247e-05,19:12:09  19-02-17
5,0.418695649473,0.0845515218415,0.451544993496,22.1796681124,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012819999999997833,0.0005079999999999529,2.8000000000139025e-05,19:12:09  19-02-17
6,-0.446361578988,-0.547790600362,0.602066940262,97.1221259681,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011999999999998678,0.0004910000000000192,2.500000000016378e-05,19:12:09  19-02-17
7,-0.413341624538,0.297776039122,0.526809441346,23.4000665782,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012409999999998256,0.0005129999999999857,2.6000000000081513e-05,19:12:09  19-02-17
8,0.364170973385,0.49942988167,0.451544993496,40.6118354553,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012860000000001204,0.000512000000000068,2.599999999985947e-05,19:12:09  19-02-17
9,0.952979130441,0.258188411059,0.602066940262,3.71240073337,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012690000000001866,0.0005209999999999937,2.4999999999941735e-05,19:12:09  19-02-17
10,0.464361224879,-0.172468896394,0.526809441346,19.6841491763,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0013209999999999056,0.0006299999999999084,3.500000000000725e-05,19:12:09  19-02-17
11,0.147678155682,0.346092901924,0.451544993496,11.974028892,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012719999999999398,0.00046199999999996244,2.500000000016378e-05,19:12:09  19-02-17
12,-0.716231722409,-0.907499840505,0.602066940262,249.588243514,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.001132000000000133,0.0004879999999998219,2.6999999999999247e-05,19:12:09  19-02-17
13,0.640550650048,-0.0725146223979,0.526809441346,14.7256652795,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012720000000001619,0.0004589999999999872,2.999999999997449e-05,19:12:09  19-02-17
14,0.933653429662,-0.169928608163,0.451544993496,2.89762401578,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.001134999999999886,0.0004790000000001182,2.6999999999999247e-05,19:12:09  19-02-17
15,-0.435208790484,-0.574424681062,0.602066940262,98.5579608293,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.001188000000000189,0.00045399999999995444,2.599999999985947e-05,19:12:09  19-02-17
16,-0.857717061092,-0.677302545316,0.526809441346,279.822706991,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011300000000000754,0.0004509999999999792,2.799999999991698e-05,19:12:09  19-02-17
17,-0.03459999405,-0.926593870266,0.451544993496,60.0017443206,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0012130000000001306,0.0004750000000000032,2.4999999999941735e-05,19:12:09  19-02-17
18,0.515568583382,0.649746147856,0.602066940262,57.7842691073,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.001166999999999918,0.00045199999999989693,2.6999999999999247e-05,19:12:09  19-02-17
19,-0.558137470117,0.935892475421,0.526809441346,10.5306368651,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0013360000000000039,0.0004690000000000527,2.6000000000081513e-05,19:12:09  19-02-17
20,0.735043111139,-0.12610729572,0.451544993496,7.86794526271,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011289999999999356,0.0004890000000001837,2.799999999991698e-05,19:12:09  19-02-17
21,0.0540093803956,0.517374945761,0.602066940262,16.1512409721,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.0013980000000000103,0.00046600000000007746,3.199999999980996e-05,19:12:09  19-02-17
22,0.314917073668,0.819712343183,0.526809441346,65.7844574182,496.167632063,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011559999999999349,0.00046199999999996244,2.6000000000081513e-05,19:12:09  19-02-17
23,-0.980247697777,0.866586484331,0.451544993496,68.0856569652,625.348862188,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011340000000001904,0.00046199999999996244,2.599999999985947e-05,19:12:09  19-02-17
24,0.402478292911,0.930116760519,0.602066940262,86.0819204999,386.029209654,0.10419315415972741,0.10433112959973512,1.73269255098,0.0011390000000002232,0.0004499999999998394,2.599999999985947e-05,19:12:09  19-02-17
25,0.0576140500918,0.172840085613,0.526809441346,2.56201591032,496.167632063,0.963259758647472,0.06846488152776731,0.900951000654,0.0011260000000001824,0.0004499999999998394,2.6999999999999247e-05,19:12:09  19-02-17
26,0.963259758647,0.0684648815278,0.451544993496,1.35953686198,625.348862188,0.963259758647472,0.06846488152776731,0.900951000654,0.0011270000000001001,0.00045399999999995444,2.6000000000081513e-05,19:12:09  19-02-17
27,-0.950415063911,0.759827426251,0.602066940262,67.4973303657,386.029209654,0.963259758647472,0.06846488152776731,0.900951000654,0.001134999999999886,0.00045000000000006146,2.6999999999999247e-05,19:12:09  19-02-17
28,-0.392298867155,-0.331722479681,0.526809441346,63.1205557627,496.167632063,0.963259758647472,0.06846488152776731,0.900951000654,0.0011179999999999524,0.00048800000000004395,2.6999999999999247e-05,19:12:09  19-02-17
29,0.360797912163,0.931115517965,0.451544993496,83.1078751326,625.348862188,0.932276583854087,0.012193263222069817,0.423114843699,0.0011359999999998038,0.00045000000000006146,3.300000000017178e-05,19:12:09  19-02-17
30,-0.11065386374,0.356652949246,0.369686050455,10.7863904804,787.456733986,0.07112736879540704,0.0014225473759079676,0.476422743167,1724.993854,0.0017100000000027649,10.983824999999996,19:12:09  19-02-17
31,-0.00274348422497,-0.897119341564,1.0,51.4868000776,120.0,0.07183864248336125,-0.010059442158207532,0.453208615678,1984.117223,0.0024670000002515735,10.995077999999921,19:12:09  19-02-17
32,0.0,-0.691358024691,0.99784995706,31.8481010699,120.00776611,0.07691916882589012,-0.03617334755880719,0.427443995761,2107.103964,0.0031060000001161825,11.886156999999912,19:12:09  19-02-17
33,0.802316720012,0.51394604481,1.0,21.3636207661,120.0,0.07691916882589012,-0.041863537062439726,0.437569838828,2020.2111080000004,0.003381999999874097,11.66939899999943,19:12:09  19-02-17
34,0.587105624143,-0.999542752629,1.0,57.4940403755,120.0,0.07661433724533828,-0.03231214753848488,0.424344063602,1750.7601849999992,0.004469000001336099,11.800933000000441,19:12:09  19-02-17
35,0.0,-0.735253772291,0.299726284982,36.1351117896,943.843903587,0.07864654778235014,-0.053447137123405986,0.4576336181,1698.332280999999,0.00553099999888218,10.76175400000102,19:12:09  19-02-17
36,-0.0740740740741,-0.444444444444,0.981113259652,22.6614264202,120.599271054,0.06753713018001983,-0.02174465274602444,0.487431887365,1763.408587,0.003018999999767402,10.888616000000184,19:12:09  19-02-17
37,0.840420667581,0.407356602144,0.984825539912,12.4188177484,120.386843921,0.9184575522024083,-0.00508052634252909,0.40453133193,1809.86463,0.0045509999999922,10.766381999999794,19:12:09  19-02-17
38,-0.268861454047,-0.117969821674,1.0,30.2456985727,120.0,0.9179720796852331,-0.006096631611034908,0.405726983609,1741.5213200000017,0.0022759999992558733,11.599991999999475,19:12:09  19-02-17
39,0.259106843469,0.99984758421,1.0,81.3013471581,120.0,0.06868871615099303,-0.02167691239479075,0.475986680324,1783.5620150000032,0.002515999996830942,10.78820899999846,19:12:09  19-02-17
40,0.777625361988,0.431946349642,0.982953534563,18.699789998,120.488177733,0.06807905298988959,-0.027130010669105364,0.487024902646,1810.3636760000045,0.0032119999996211845,11.387481999998272,19:12:09  19-02-17
41,0.628257887517,0.41975308642,0.948293530992,32.3846631238,124.491579015,0.06885806702907749,-0.022354315907127886,0.474782583759,1679.2296569999999,0.003586000002542278,12.274999999997817,19:12:09  19-02-17
42,0.200274348422,0.332876085963,1.0,16.3936834603,120.0,0.06821453369235697,-0.023065589595082092,0.481547391801,1781.7182650000032,0.0023689999979978893,11.460132999996858,19:12:09  19-02-17
43,0.592592592593,-0.962962962963,0.7592893297,53.5497377263,217.341933018,0.06818066351674013,-0.023980084336737262,0.4826421277,1771.0709640000023,0.022034999998140847,13.551010999999562,19:12:09  19-02-17
44,0.443529949703,0.0658436213992,0.99784995706,22.8261442376,120.00776611,0.0690951582583954,-0.030686379108875728,0.481555767505,1889.463257000003,0.0020890000014333054,12.556268999996973,19:12:09  19-02-17
45,-0.053040695016,0.164913885078,0.88898880102,4.50572830205,140.703456982,0.07979813375332356,-0.037934596690883726,0.415524549045,1703.3930199999995,0.002723000001424225,12.638870999999199,19:12:09  19-02-17
46,-0.261545496113,0.710562414266,1.0,25.3517779879,120.0,0.9212010364273739,-0.027130010669105364,0.426373949694,1710.8516879999988,0.0028180000008433126,11.199184000000969,19:12:09  19-02-17
47,0.206675811614,-0.406950160037,1.0,11.3764762849,120.0,0.07895137936290197,-0.034039526494944905,0.414414643032,1862.8475230000004,0.0019820000015897676,11.866559999998572,19:12:09  19-02-17
48,0.193872885231,0.110958695321,0.955977185236,7.77298068694,123.255853809,0.0819996951684192,-0.03901844231062346,0.409109841111,1731.4350290000002,0.002525999996578321,11.55859000000055,19:12:09  19-02-17
49,0.778235025149,0.333790580704,0.671480502055,14.4807093854,301.31410169,0.08189808464156867,-0.038612000203221086,0.408879940613,1818.9622910000035,0.0016600000017206185,11.867991999999504,19:12:09  19-02-17
50,0.334705075446,0.82853223594,1.0,69.1000196629,120.0,0.080678758319362,-0.0384087791495199,0.412693234126,1530.839731,0.0022659999958705157,11.582336999999825,19:12:09  19-02-17
51,0.203932327389,-0.120713305898,0.946953098899,5.94227115052,124.727475844,0.08118681095361446,-0.04206675811614091,0.416504983109,1678.3513600000006,0.0037659999943571165,11.479033000003255,19:12:09  19-02-17
52,0.83950617284,0.079561042524,0.296982330881,3.09067922203,950.312856398,0.08467543904215113,-0.042371589696692635,0.407672857267,1842.2382799999978,0.003435999999055639,12.925348000004306,19:12:09  19-02-17
53,0.910836762689,0.0164609053498,0.98965182871,0.953030291242,120.17990221,0.08348998289556131,-0.04132161425256997,0.408431089533,1883.1135300000024,0.0024560000019846484,14.13763299999846,19:12:09  19-02-17
54,0.908093278464,-0.197530864198,0.291495018731,2.67139546693,963.325238251,0.08304967061254187,-0.0402716388084472,0.407975325594,1962.2116500000047,0.001909999999043066,11.708095999994839,19:12:09  19-02-17
55,-0.0548696844993,0.262459990855,0.259488208558,6.49962268529,1041.24095829,0.9187623837829599,-0.012633575505088923,0.405151547281,1813.4716890000054,0.0022840000019641593,12.251554999995278,19:12:09  19-02-17
56,-0.142661179698,0.0082304526749,0.940488474218,11.817461385,125.949924458,0.9179494995681552,-0.01266744568070588,0.406948993942,1710.5601189999943,0.0027699999991455115,14.325271000001521,19:12:09  19-02-17
57,0.920896204847,-0.185642432556,0.964246299936,3.79303368288,122.147589475,0.91175125743027,-0.02184626327287509,0.438359874493,1944.9563780000026,0.002157999995688442,12.757742000001599,19:12:09  19-02-17
58,0.20454199055,-0.333485749124,0.183737142629,7.20348072095,1239.3588879,0.9125641416450745,-0.02001727378956475,0.432385689156,1832.7717839999968,0.09857400000328198,11.494139000002178,19:12:09  19-02-17
59,-0.00416603160087,-0.357973886095,0.177335558398,11.5887601464,1256.98499624,0.9135802469135803,-0.018797947467357745,0.426451390614,1961.2266299999974,0.0013919999983045273,12.964275000005728,19:12:09  19-02-17
60,0.44911852868,0.0205253264238,0.962695221836,21.8360162646,122.337966076,0.913377025859879,-0.019306000101610543,0.427817087422,2053.272901000004,0.002878999999666121,13.501863999998022,19:12:09  19-02-17
61,0.983996342021,0.111568358482,0.222145722223,1.82313238679,1136.49622613,0.9156124574505919,-0.01574963166184018,0.415873936251,1840.9745329999932,0.0020920000024489127,13.501491000002716,19:12:09  19-02-17
62,0.920489762739,-0.193872885231,0.209901627241,2.6899972489,1168.74913691,0.9185591627292589,-0.007824010567494821,0.403980647479,1962.080814999994,0.09180899999773828,14.771597000006295,19:12:09  19-02-17
63,-0.897119341564,0.424325560128,1.0,84.9893960525,120.0,0.9186607732561094,-0.008027231621195896,0.403744300365,2188.500318000006,0.002436999995552469,13.16982399999688,19:12:09  19-02-17
64,-0.0370201019492,0.223746380125,0.185176805411,5.17203843498,1235.41388858,0.08382868465172955,-0.020525326423817547,0.402404017497,1739.4457590000093,0.3300509999971837,13.115489999996498,19:12:09  19-02-17
65,0.914935053938,-0.193466443124,0.964246299936,3.79211383846,122.147589475,0.08521736185202111,-0.025097800132093617,0.399130668515,1690.3290749999942,0.11705000000074506,13.438413000003493,19:12:09  19-02-17
66,0.870598994056,0.407559823198,0.976644578709,10.679499213,120.916399182,0.08504801097393666,-0.024318786092905942,0.3995300525,1918.4734360000002,0.002055000004475005,13.692005999997491,19:12:09  19-02-17
67,-0.897119341564,0.600823045267,0.734542673176,64.7955078216,238.385555172,0.9184575522024083,-0.004470863181425533,0.404711217803,2062.8599680000043,0.0022000000026309863,14.86298999999417,19:12:09  19-02-17
68,-0.556927297668,0.776406035665,0.425926962251,10.3734457661,673.660552486,0.9185591627292589,-0.004674084235126608,0.404357912289,2203.321327999991,0.0016650000034132972,13.471701000002213,19:12:09  19-02-17
