n, x0, x1, xa,y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
0,0.219926752142,0.581322431629,0.602066940262,33.3338093784,386.029209654,-0.3506103237629701,0.2050350663574092,24.2332701561,0.0017739999999999423,0.00048000000000003595,2.9000000000056758e-05,19:45:30  19-02-17
1,-0.350610323763,0.205035066357,0.526809441346,24.1885797182,496.167632063,-0.3506103237629701,0.2050350663574092,24.2332701561,0.0016380000000000283,0.000452000000000119,2.2999999999884224e-05,19:45:30  19-02-17
2,0.0107945978417,-0.816157045005,0.451544993496,42.1065898127,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011359999999998038,0.00047200000000002795,2.4000000000024002e-05,19:45:30  19-02-17
3,0.0783087528311,-0.093362446874,0.602066940262,0.984640202265,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0012260000000001714,0.0004669999999999952,2.2999999999884224e-05,19:45:30  19-02-17
4,-0.641779212785,0.179585584353,0.526809441346,45.2046595575,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011410000000000586,0.0004569999999999297,2.4999999999941735e-05,19:45:30  19-02-17
5,-0.849762198459,-0.940695932282,0.451544993496,344.4972595,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011290000000001577,0.00045399999999995444,2.799999999991698e-05,19:45:30  19-02-17
6,0.925439253184,-0.0921522077787,0.602066940262,1.55191171634,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011419999999999764,0.00045399999999995444,2.4000000000024002e-05,19:45:30  19-02-17
7,-0.421763910895,0.447754464263,0.526809441346,19.7297674132,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011250000000000426,0.00045600000000001195,2.4000000000024002e-05,19:45:30  19-02-17
8,-0.380291360664,-0.377385623882,0.451544993496,66.0643774403,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011499999999999844,0.0004610000000000447,2.4999999999941735e-05,19:45:30  19-02-17
9,-0.696171335789,-0.22342410002,0.602066940262,107.732366002,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011339999999999684,0.0004530000000000367,2.4000000000024002e-05,19:45:30  19-02-17
10,-0.51602618852,0.601856971086,0.526809441346,14.8064006807,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011330000000000506,0.0004589999999999872,2.9000000000056758e-05,19:45:30  19-02-17
11,0.46389325805,0.73861054469,0.451544993496,66.8442130332,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011919999999998598,0.0004950000000001342,3.2999999999949736e-05,19:45:30  19-02-17
12,0.0538747584694,0.794610421259,0.602066940262,36.7786233515,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0015450000000001296,0.00046999999999997044,2.599999999985947e-05,19:45:30  19-02-17
13,-0.853526352553,-0.302058037011,0.526809441346,191.644708143,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011600000000000499,0.00046400000000001995,2.999999999997449e-05,19:45:30  19-02-17
14,0.58087603935,-0.0500285808692,0.451544993496,18.5622500425,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0012389999999999901,0.0004770000000000607,2.599999999985947e-05,19:45:30  19-02-17
15,-0.35839434821,0.341843487985,0.602066940262,21.1685073449,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011719999999999509,0.0004630000000001022,2.6000000000081513e-05,19:45:30  19-02-17
16,0.912884336774,-0.960022292135,0.526809441346,53.6230986288,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011999999999998678,0.0006619999999999404,3.500000000000725e-05,19:45:30  19-02-17
17,0.578949278564,0.368944548379,0.451544993496,34.0687040934,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0013179999999999303,0.0004669999999999952,2.6000000000081513e-05,19:45:30  19-02-17
18,0.788656522422,-0.991641315445,0.602066940262,51.2381181403,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011570000000002967,0.00045999999999990493,2.599999999985947e-05,19:45:30  19-02-17
19,0.731217578917,-0.75465984311,0.526809441346,31.2356115889,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.001134999999999886,0.00048000000000003595,3.2000000000032e-05,19:45:30  19-02-17
20,-0.225175314553,-0.305079923019,0.451544993496,36.6683876185,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0014900000000002134,0.0005029999999999202,2.599999999985947e-05,19:45:30  19-02-17
21,0.722596394186,0.42302420848,0.602066940262,24.7493185776,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011980000000000324,0.00046400000000001995,3.2000000000032e-05,19:45:30  19-02-17
22,-0.959140171138,-0.202302080179,0.526809441346,237.632125591,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.001170999999999811,0.000468000000000135,2.6000000000081513e-05,19:45:30  19-02-17
23,-0.460716072031,-0.742654863383,0.451544993496,129.049171851,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011459999999998693,0.00046799999999991293,2.8000000000139025e-05,19:45:30  19-02-17
24,0.225977239868,0.609687860831,0.602066940262,36.2316425866,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011630000000000251,0.0004690000000000527,2.6000000000081513e-05,19:45:30  19-02-17
25,0.166719364373,0.648358277398,0.526809441346,33.2546355512,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011599999999998278,0.0004649999999999377,2.6000000000081513e-05,19:45:30  19-02-17
26,-0.274917991029,0.659726459417,0.451544993496,23.2930950605,625.348862188,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011779999999999013,0.00046199999999996244,2.6000000000081513e-05,19:45:30  19-02-17
27,-0.510589681544,0.782987842968,0.602066940262,13.7282500311,386.029209654,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011690000000001977,0.0004750000000000032,2.599999999985947e-05,19:45:30  19-02-17
28,0.520506326307,-0.890757164419,0.526809441346,48.4957894814,496.167632063,0.0783087528311266,-0.09336244687401729,0.680276509554,0.0011579999999999924,0.000468000000000135,2.6999999999999247e-05,19:45:30  19-02-17
29,-0.300639016626,0.0256231829471,0.451544993496,27.4498364808,625.348862188,0.06828227404359066,0.03932327389117507,0.651970274294,0.001150999999999902,0.0004649999999999377,3.500000000000725e-05,19:45:30  19-02-17
30,0.724279835391,0.42524005487,0.409464237605,25.3685317805,705.870577602,0.07061931616115436,0.03749428440786451,0.632119326703,2417.501679,0.0033060000000659784,10.328911000000005,19:45:30  19-02-17
31,0.984910836763,0.205761316872,1.0,3.57152836414,120.0,0.07153381090280964,0.03383630544124383,0.607194057172,2098.7235450000003,0.0026709999992817757,11.591150000000198,19:45:30  19-02-17
32,-0.268556622466,-0.327693949093,1.0,43.7063872548,120.0,0.07224508459076362,0.02824772646446183,0.57362795866,1982.3703910000004,0.0022550000003320747,10.433799999999792,19:45:30  19-02-17
33,0.54686785551,0.444444444444,1.0,39.3810678074,120.0,0.06787583193618851,0.03566529492455417,0.631752092403,1801.2648739999995,0.0023540000001958106,10.99844800000028,19:45:30  19-02-17
34,-0.452674897119,0.219478737997,1.0,27.9396003243,120.0,0.06950160036579778,0.03434435807549652,0.616989569033,1965.7994679999993,0.002182999998694868,11.256768000001102,19:45:30  19-02-17
35,0.752629172382,0.462734339278,1.0,22.8328642261,120.0,0.07661433724533828,0.032616979119036715,0.593151189628,1761.6448440000004,0.0028840000013587996,11.175269999999728,19:45:30  19-02-17
36,0.13808870599,-0.144490169182,0.444216909382,2.05309246556,638.943337612,0.08240613727582158,0.02174465274602455,0.537190433051,1772.4665839999998,0.0029809999996359693,11.006860999999844,19:45:30  19-02-17
37,-0.362139917695,-0.411522633745,0.998919656554,65.8273691532,120.001960798,0.09266880048773052,0.008636894782299454,0.521194385339,1750.1444620000002,0.25665700000172365,11.26226399999905,19:45:30  19-02-17
38,-0.0369862317736,-0.110958695321,1.0,5.19202627073,120.0,0.09033175837016705,0.004470863181425644,0.486073985132,1692.7373130000014,0.10393800000019837,11.636258999998972,19:45:30  19-02-17
39,-0.331961591221,0.11065386374,0.969037089758,26.1173761069,121.610619042,0.09165269521922492,0.000508052634252909,0.477790393566,1751.092177999999,0.0020629999999073334,10.963353999999526,19:45:30  19-02-17
40,-0.263374485597,-0.37037037037,0.956703432897,46.3225471572,123.149315774,0.09023014784331651,-0.0036579789666210116,0.454350197563,1693.5728369999997,0.003377000000909902,10.942059000000881,19:45:30  19-02-17
41,0.999949194737,0.555606360819,1.0,14.6009949115,120.0,0.08809632677945456,-0.00020322105370118582,0.456453594268,1552.2730149999988,0.002936000000772765,11.44097099999999,19:45:30  19-02-17
42,0.688614540466,0.279835390947,1.0,19.2506607356,120.0,0.088705989940558,-0.0033531473860692884,0.448223301494,1766.2161549999983,0.0027559999980439898,11.539464000001317,19:45:30  19-02-17
43,0.0,-0.0740740740741,0.944320882213,2.56286545305,125.208275785,0.088705989940558,-0.0036579789666210116,0.447230525384,1829.1084680000022,0.002494000000297092,11.712578999999096,19:45:30  19-02-17
44,-0.558756287151,0.852309099223,0.516463797052,10.1003801423,512.796196063,0.08809632677945456,-0.00050805263425302,0.455368985226,1811.2240579999998,0.10780499999964377,11.213749999998981,19:45:30  19-02-17
45,0.987654320988,0.172839506173,0.882544496005,3.18329638223,143.176936303,0.08616572676929324,-0.0009144947416552807,0.447170929222,1852.0742739999987,0.10330099999919184,11.136978000002273,19:45:30  19-02-17
46,0.960219478738,0.263374485597,0.99784995706,3.98091764001,120.00776611,0.08697861098409798,-0.0014225473759081897,0.448035840625,1965.7322660000027,0.002012999997532461,11.519591000000219,19:45:30  19-02-17
47,0.00274348422497,0.373113854595,0.467079297635,8.21656881584,597.127518016,0.08565767413504011,-0.001016105268505818,0.445429624234,1726.8698089999998,0.0015080000011948869,12.467295000002196,19:45:30  19-02-17
48,-0.0092465579434,-0.0122948737489,0.88898880102,2.38028718119,140.703456982,0.08484478992023536,0.0007112736879539838,0.449200705877,1825.7724359999993,0.0014129999981378205,12.49116800000047,19:45:30  19-02-17
49,0.000914494741655,-0.112482853224,0.945629013947,3.09347539169,124.966422929,0.0822029162221205,-0.0021338210638621735,0.436763396594,1818.7797509999946,0.2150160000019241,12.537436000005982,19:45:30  19-02-17
50,0.139917695473,0.139917695473,0.888210492164,4.85414576632,140.994782024,0.08697861098409798,-0.017883452725702464,0.408290489815,1873.4757219999956,0.002755000001343433,12.190463999999338,19:45:31  19-02-17
51,0.888888888889,-0.222222222222,0.388887304802,3.15700940195,747.410660071,0.08850276888685671,-0.02824772646446183,0.401171349315,1694.612006000003,0.0023559999972349033,14.611241999999038,19:45:31  19-02-17
52,0.109739368999,0.210333790581,0.884026752754,5.18491381537,142.595654049,0.08860437941370747,-0.02916222120611689,0.400994888437,2088.083961000004,0.0005870000022696331,12.046135999997205,19:45:31  19-02-17
53,0.682721129909,-0.730071635421,1.0,31.7963193325,120.0,0.08850276888685671,-0.02773967383020881,0.40141734469,1702.8862940000035,0.0005620000010821968,11.393108999996912,19:45:31  19-02-17
54,-0.62978204542,0.903520804755,0.407330101044,5.63140544506,710.112783336,-0.6787319758919617,0.9999981183235767,2.7992414383,1798.0253409999932,0.18465200000355253,12.458758000000671,19:45:31  19-02-17
55,0.941929583905,0.0128029263832,0.839383869939,1.34466803576,163.339869276,-0.6799174320385517,0.9999993727745253,2.79506086675,1809.8450010000015,0.002766000005067326,13.97168299999612,19:45:31  19-02-17
56,0.674897119342,0.183813443073,0.837423119217,17.074443641,164.404486837,-0.6800729839561995,0.9999993727745253,2.79462603331,1732.0996509999968,0.10348700000031386,11.751076000000467,19:45:31  19-02-17
57,0.0740740740741,-0.197530864198,0.388887304802,2.33839906912,747.410660071,0.08575928466189064,-0.020220494843265824,0.403464134255,1684.0794939999978,0.16920499999832828,13.282042999999248,19:45:31  19-02-17
58,-0.629578824366,0.901183762638,0.33330734462,5.54372745214,866.724882518,0.08840115836000617,-0.028315466815695522,0.40094635959,1637.9438450000089,0.002223999996203929,13.107859999996435,19:45:31  19-02-17
59,-0.658436213992,0.926383173297,1.0,5.38733533302,120.0,0.08640281799861116,-0.021880133448491934,0.402429491321,1607.5873589999974,0.12954500000341795,12.512665000002016,19:45:31  19-02-17
60,0.880963267795,-0.242036274958,0.333258245378,3.54412676601,866.834873159,0.08531897237887165,-0.02059306677505124,0.402693420104,1790.1139299999995,0.001670000005105976,11.970289999997476,19:45:31  19-02-17
61,0.876695625667,-0.332876085963,1.0,7.2465953662,120.0,0.08525123202763796,-0.019949533438330946,0.403335922911,1815.173640000001,0.0019170000014128163,13.518842999998014,19:45:31  19-02-17
