n, x0, x1, xa,y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
0,0.394682604056,-0.713125968318,0.602066940262,34.2764860578,386.029209654,0.394682604055534,-0.7131259683179196,32.6073872988,0.001678999999999986,0.0005180000000000184,2.8000000000139025e-05,19:55:14  19-02-17
1,-0.651553957655,-0.00422860533714,0.526809441346,66.6296841433,496.167632063,0.3743600281998696,-0.5713004890180997,24.2448765412,0.0016769999999999285,0.00046999999999997044,2.4000000000024002e-05,19:55:14  19-02-17
2,0.3743600282,-0.571300489018,0.451544993496,25.4592138663,625.348862188,0.3743600281998696,-0.5713004890180997,24.2448765412,0.0011849999999999916,0.0004630000000001022,2.4999999999941735e-05,19:55:14  19-02-17
3,-0.627589755277,-0.030101972446,0.602066940262,64.8443947678,386.029209654,0.2561465896528865,0.0337105207987376,8.8405203096,0.0011660000000000004,0.0005020000000000024,2.4999999999941735e-05,19:55:14  19-02-17
4,0.256146589653,0.0337105207987,0.526809441346,10.0038638883,496.167632063,0.22668827796395408,-0.29632862557586725,7.02748880316,0.0012890000000000956,0.00048499999999984666,2.4000000000024002e-05,19:55:14  19-02-17
5,0.226688277964,-0.296328625576,0.451544993496,8.08852309196,625.348862188,0.22668827796395408,-0.29632862557586725,7.02748880316,0.0012209999999999166,0.0004610000000000447,2.9000000000056758e-05,19:55:14  19-02-17
6,-0.249020270222,-0.105629286862,0.602066940262,27.9211393464,386.029209654,0.22668827796395408,-0.29632862557586725,7.02748880316,0.001164000000000165,0.00046199999999996244,2.599999999985947e-05,19:55:14  19-02-17
7,-0.814522717629,-0.0323647244066,0.526809441346,121.922364444,496.167632063,0.007173146209143777,0.3260309318877246,6.70621275941,0.0012670000000001291,0.0004709999999998882,2.4999999999941735e-05,19:55:14  19-02-17
8,0.00717314620914,0.326030931888,0.451544993496,6.55114263407,625.348862188,0.007173146209143777,0.3260309318877246,6.70621275941,0.0011419999999999764,0.00046600000000007746,2.6000000000081513e-05,19:55:14  19-02-17
9,0.186492592565,-0.530843143808,0.602066940262,14.8038200582,386.029209654,0.007173146209143777,0.3260309318877246,6.70621275941,0.001194999999999835,0.0004690000000000527,2.6999999999999247e-05,19:55:14  19-02-17
10,0.0809431619924,0.724696930591,0.526809441346,32.4476723506,496.167632063,0.007173146209143777,0.3260309318877246,6.70621275941,0.0012440000000000229,0.0004939999999999944,2.9000000000056758e-05,19:55:14  19-02-17
