n, x0, x1, xa,y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
0,0.567970690965,-0.532060261291,0.602066940262,25.7816519475,386.029209654,0.8107167371012045,-0.5583511757670145,16.1716019037,0.001855000000000162,0.0005129999999999857,3.2999999999949736e-05,19:24:47  19-02-17
1,0.810716737101,-0.558351175767,0.526809441346,16.7737083601,496.167632063,0.8107167371012045,-0.5583511757670145,16.1716019037,0.0016970000000000596,0.0004669999999999952,2.4000000000024002e-05,19:24:47  19-02-17
2,-0.628083920188,0.0515477917759,0.451544993496,56.140405454,625.348862188,0.8107167371012045,-0.5583511757670145,16.1716019037,0.0011689999999999756,0.0004649999999999377,2.4000000000024002e-05,19:24:47  19-02-17
3,0.501375733126,-0.802999478587,0.602066940262,42.1089121193,386.029209654,0.8107167371012045,-0.5583511757670145,16.1716019037,0.00115899999999991,0.0004649999999999377,2.6000000000081513e-05,19:24:47  19-02-17
4,0.273532466766,-0.622422621362,0.526809441346,22.959006848,496.167632063,0.8107167371012045,-0.5583511757670145,16.1716019037,0.001268000000000269,0.00047599999999992093,2.599999999985947e-05,19:24:47  19-02-17
5,0.444711416217,0.480886407765,0.451544993496,43.5628639303,625.348862188,-0.5672009008807046,0.8615226658638016,8.30242411154,0.0011929999999997776,0.00046500000000015973,3.100000000011427e-05,19:24:47  19-02-17
6,-0.567200900881,0.861522665864,0.602066940262,9.70385944074,386.029209654,-0.5672009008807046,0.8615226658638016,8.30242411154,0.0011689999999999756,0.00047200000000002795,2.799999999991698e-05,19:24:47  19-02-17
7,0.0328375918094,-0.827674807114,0.526809441346,40.7339858796,496.167632063,-0.5672009008807046,0.8615226658638016,8.30242411154,0.0013730000000000686,0.00048000000000003595,2.4999999999941735e-05,19:24:47  19-02-17
8,0.877125453252,0.510769181352,0.451544993496,16.9009483819,625.348862188,-0.5672009008807046,0.8615226658638016,8.30242411154,0.0011559999999999349,0.00048000000000003595,2.6999999999999247e-05,19:24:47  19-02-17
9,-0.270344119856,-0.563494660155,0.602066940262,66.1289103808,386.029209654,-0.5672009008807046,0.8615226658638016,8.30242411154,0.001214999999999966,0.0005219999999999114,3.4000000000089514e-05,19:24:47  19-02-17
10,0.355035585364,-0.656869761555,0.526809441346,29.0661533077,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0015490000000000226,0.0004919999999999369,2.999999999997449e-05,19:24:47  19-02-17
11,0.726499963598,-0.12529202417,0.451544993496,8.46256421036,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011490000000000666,0.00045600000000001195,2.6000000000081513e-05,19:24:47  19-02-17
12,-0.643166106962,-0.420273424792,0.602066940262,122.916541498,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011419999999999764,0.0004489999999999217,2.4999999999941735e-05,19:24:47  19-02-17
13,-0.270550279354,-0.588171083223,0.526809441346,68.9537584184,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.00111899999999987,0.00045600000000001195,2.8000000000139025e-05,19:24:47  19-02-17
14,-0.0554100598674,-0.173182534482,0.451544993496,8.83863410795,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011360000000000259,0.0004530000000000367,2.4999999999941735e-05,19:24:47  19-02-17
15,-0.104224880075,0.460012887601,0.602066940262,13.2789171373,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011339999999999684,0.00044800000000000395,2.6000000000081513e-05,19:24:47  19-02-17
16,0.984760199724,-0.861119829239,0.526809441346,51.6024681312,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011270000000001001,0.0004549999999998722,2.6999999999999247e-05,19:24:47  19-02-17
17,0.763096992202,0.173908087371,0.451544993496,10.1259575875,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0012140000000000484,0.00046199999999996244,2.6999999999999247e-05,19:24:47  19-02-17
18,0.274763883087,-0.476980199772,0.602066940262,16.4944971959,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011419999999999764,0.00045399999999995444,2.6000000000081513e-05,19:24:47  19-02-17
19,0.690885749735,-0.396485523123,0.526809441346,14.8768077994,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011309999999999931,0.0004450000000000287,2.6000000000081513e-05,19:24:47  19-02-17
20,-0.595395765885,-0.868916359632,0.451544993496,190.226571848,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011259999999999604,0.0004939999999999944,2.6999999999999247e-05,19:24:47  19-02-17
21,-0.411464428641,-0.173769206954,0.602066940262,50.9457159338,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0012780000000001124,0.0004750000000000032,3.2999999999949736e-05,19:24:47  19-02-17
22,-0.781459718748,-0.94506437379,0.526809441346,297.170609494,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011700000000001154,0.00046799999999991293,2.599999999985947e-05,19:24:47  19-02-17
23,0.152465823973,-0.489778509096,0.451544993496,11.8659406361,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011470000000002312,0.00046199999999996244,2.599999999985947e-05,19:24:47  19-02-17
24,-0.0911651567432,-0.856220917405,0.602066940262,61.8358557976,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.001146999999999787,0.0004630000000001022,2.6000000000081513e-05,19:24:47  19-02-17
25,0.461808717039,-0.333586903905,0.526809441346,21.0384386936,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011440000000000339,0.00046199999999996244,2.6999999999999247e-05,19:24:47  19-02-17
26,0.7357856311,-0.351254642665,0.451544993496,11.0131033891,625.348862188,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011660000000000004,0.0004659999999998554,2.6000000000081513e-05,19:24:47  19-02-17
27,0.295844180969,0.379484053235,0.602066940262,26.9799157257,386.029209654,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0011470000000002312,0.00046199999999996244,2.599999999985947e-05,19:24:47  19-02-17
28,0.399674945512,0.513785167953,0.526809441346,44.1091277324,496.167632063,0.7264999635977103,-0.12529202416950502,9.09378091334,0.0012049999999999006,0.00048800000000004395,2.6999999999999247e-05,19:24:47  19-02-17
29,-0.425215757203,0.077097650374,0.451544993496,34.0681592337,625.348862188,0.06137275821775101,0.028044505410760534,0.639186548702,0.0011729999999998686,0.0004770000000000607,3.4000000000089514e-05,19:24:47  19-02-17
30,-0.170096021948,0.458161865569,0.998919656554,15.1105430233,120.001960798,0.06066148452979703,0.01056749479246033,0.588410470129,1948.337078,0.2633690000000115,10.652017999999998,19:24:47  19-02-17
31,-0.388965096784,-0.333485749124,1.0,62.1652429456,120.0,0.07407407407407396,-0.016867347457196535,0.434331397232,2208.1719930000004,0.001795000000129221,10.525054000000182,19:24:47  19-02-17
32,-0.11065386374,0.998628257888,1.0,48.1727453159,120.0,0.07234669511761416,-0.03688462124676117,0.461823127122,2003.616204,0.0020990000002711895,10.571670999999697,19:24:47  19-02-17
33,0.189300411523,-0.0246913580247,0.99784995706,5.41223015823,120.00776611,0.07580145303053376,-0.04176192653558919,0.444804311768,1983.732516,0.0021819999992658268,10.923909000000094,19:24:47  19-02-17
34,0.609967992684,-0.481938728852,1.0,22.1220697432,120.0,0.07549662144998193,-0.04115226337448563,0.445638611278,1952.9516329999988,0.21659700000054727,10.569162000001597,19:24:47  19-02-17
35,0.334705075446,0.37037037037,0.99784995706,30.396099534,120.00776611,0.07986587410455726,-0.039120052837473995,0.4169728213,1959.1483909999988,0.0016850000010890653,11.232538000000204,19:24:47  19-02-17
36,-0.570644718793,0.855967078189,0.553489697439,9.36627413566,454.944036492,0.08159325306101706,-0.041457094955037355,0.414021597375,1693.8600519999982,0.0018199999994976679,11.262582000001203,19:24:47  19-02-17
37,-0.757201646091,0.998628257888,1.0,5.21874680607,120.0,0.0759030635573843,-0.004978915815678331,0.440038592776,1767.1710230000008,0.019168000000718166,11.218683999999485,19:24:47  19-02-17
38,-0.0832190214906,0.440786465478,0.444216909382,12.1420272881,638.943337612,0.07539501092313161,-0.005486968449931351,0.441008509965,1809.160538,0.01672099999996135,11.054362000000765,19:24:47  19-02-17
39,-0.139003200732,0.161865569273,0.936786742255,9.78315761805,126.713138804,0.07529340039628107,-0.009449778997104086,0.434982305424,1695.5074319999985,0.0018600000003061723,11.077283999999054,19:24:47  19-02-17
40,-0.79012345679,0.987654320988,0.919963428472,8.4578368953,130.761832674,0.0746837372351774,-0.006909515825839541,0.44156722173,1872.0555460000032,0.003049999999348074,11.110360999999102,19:24:47  19-02-17
41,-0.543209876543,0.962962962963,0.993673533684,13.6610597841,120.067240616,0.07742722146014303,-0.01483513692018501,0.420007434605,1780.7443219999986,0.0028099999981350265,11.57241200000135,19:24:47  19-02-17
42,-0.776406035665,0.963877457705,0.859426783886,8.10636640881,153.198192869,0.07509017934257978,-0.006198242137885446,0.440981921996,1671.0949389999987,0.1840090000005148,13.189663000001019,19:24:47  19-02-17
43,0.888888888889,0.460905349794,0.331275533502,13.6219066103,871.283252316,0.0743789056546258,-0.0007112736879540948,0.455088782794,1514.6384380000054,0.014007999998284504,14.577298999996856,19:24:47  19-02-17
44,0.827211299091,0.778539856729,1.0,39.6032726409,120.0,0.07529340039628107,-0.00020322105370118582,0.452745739306,1827.603825000002,0.13192899999921792,11.809237999998004,19:24:47  19-02-17
45,0.474622770919,0.351165980796,0.973197507588,35.2057370017,121.206867647,0.07478534776202794,-0.002540263171264545,0.449351513403,1704.0429680000016,0.0022959999987506308,13.491487999999663,19:24:47  19-02-17
46,0.230452674897,-0.0740740740741,0.969037089758,7.83373246704,121.610619042,0.07580145303053376,-0.007519178986942987,0.435821962758,1726.8362740000048,0.29789099999834434,14.159574999997858,19:24:47  19-02-17
47,0.211248285322,-0.0548696844993,0.273663033131,5.10653583507,1006.30985426,0.07810462497248039,-0.010025571982590686,0.424047823233,1514.333794000002,0.10873600000195438,11.186901999997644,19:24:47  19-02-17
48,-0.605090687395,0.834628867551,0.333258245378,7.28616510612,866.834873159,0.08034005656319332,-0.011990042168368631,0.416110350501,1854.8739270000005,0.0020579999982146546,12.93653600000107,19:24:47  19-02-17
49,0.999949194737,0.158817253467,1.0,3.75118879818,120.0,0.08010296533387518,-0.011177157953563999,0.417793861023,2043.7134640000004,0.0007929999992484227,13.445582000000286,19:24:47  19-02-17
50,0.480109739369,-0.257887517147,0.961165990634,20.5428046192,122.533574876,0.08006909515825833,-0.012802926383173263,0.415342399021,2025.8184099999999,0.0023050000017974526,13.45165999999881,19:24:47  19-02-17
51,-0.032616979119,-0.197226032617,0.296271704681,7.77504365923,951.992302902,0.07962878287523911,-0.013819031651679081,0.414821943177,2123.4813039999935,0.002766000005067326,12.935722000001988,19:24:47  19-02-17
52,0.852309099223,0.695016003658,0.88898880102,30.4617642946,140.703456982,0.08044166709004386,-0.012802926383173263,0.414710079208,2251.6968869999982,0.0032700000010663643,13.636573999996472,19:24:47  19-02-17
53,0.786160646243,-0.333485749124,0.296220173539,8.0428275833,952.114154143,0.08094971972429654,-0.014123863232230804,0.412061856464,2137.3643079999965,0.00310400000307709,12.876166000001831,19:24:47  19-02-17
54,0.148148148148,-0.123456790123,0.99784995706,3.11664073094,120.00776611,0.08342224254432762,-0.018967298345441974,0.404046082443,2192.727654000002,0.003612000000430271,13.645148999996309,19:24:47  19-02-17
55,-0.0228623685414,0.137174211248,0.251714819612,3.48211177236,1060.6835948,0.08718183203779928,-0.03190570543108262,0.398632781174,2003.5917970000082,0.0037650000012945384,14.445867999995244,19:24:47  19-02-17
56,0.777794712866,-0.583041203069,1.0,19.2778270937,120.0,0.08626733729614378,-0.029263831732967427,0.398122834477,1908.7576479999989,0.0028080000047339126,13.7592949999962,19:24:47  19-02-17
57,0.747582516215,-0.555538620468,0.962695221836,18.5962886201,122.337966076,0.08596250571559194,-0.02824772646446183,0.398176974264,1743.4507939999967,0.11162300000432879,12.060004999999364,19:24:47  19-02-17
58,0.913580246914,-0.271604938272,0.993673533684,6.12013234722,120.067240616,0.0858608951887414,-0.02824772646446183,0.39813873891,1863.3056890000007,0.002303999994182959,13.472874999999476,19:24:47  19-02-17
59,-0.641975308642,0.869684499314,0.221536714171,5.59164016233,1138.0885468,0.0850818811495535,-0.02773967383020881,0.398148175485,1647.9701730000015,0.004697999997006264,12.272295000002487,19:24:47  19-02-17
60,-0.109739368999,-0.260631001372,0.904495739356,17.2165176746,135.323387186,0.08525123202763796,-0.02865416857186409,0.397980844101,2031.447156000002,0.0032810000047902577,14.386878999997862,19:24:47  19-02-17
61,-0.555606360819,0.777726972514,1.0,11.6792864593,120.0,0.08525123202763796,-0.028552558045013554,0.397994183369,2097.2970869999917,0.0018670000063139014,15.764748000001418,19:24:47  19-02-17
62,0.912868973226,-0.271604938272,0.148173523245,4.45757146421,1339.02202212,0.9240122610035733,0.005182136869379628,0.401548906002,1985.5972949999996,0.0018169999966630712,14.492802000000665,19:24:47  19-02-17
63,0.229944622263,-0.0755982319768,0.172915465662,5.99919506988,1269.23562926,0.9263154329455197,0.006299852664736205,0.403159557174,1936.623298000006,0.0031829999934416264,13.012587999997777,19:24:47  19-02-17
64,0.877914951989,0.213077274806,0.110882461418,4.40179150736,1448.09039566,0.9294314891022708,0.004064421074023272,0.408296548163,1894.242194999999,0.0024360000097658485,13.798101000000315,19:24:47  19-02-17
65,-0.603566529492,0.136259716507,1.0,43.6682264003,120.0,0.9293298785754203,0.0038612000203221974,0.407935221359,2041.7979389999964,0.002630000002682209,13.145864999998594,19:24:47  19-02-17
66,0.164609053498,-0.0521262002743,0.593286646333,3.08003792,397.898463445,0.9305492048976272,0.005486968449931462,0.412458482799,2111.6690679999883,0.002563000001828186,13.899856000003638,19:24:47  19-02-17
67,0.288065843621,-0.41975308642,0.99784995706,16.3814413553,120.00776611,0.9316669206929833,0.00650307371843728,0.417184288641,2255.3270499999926,0.0024190000112866983,14.423089000003529,19:24:47  19-02-17
