n, x0, x1, x2, x3, x4, x5, xa,y, c, rx0, rx1, rx2, rx3, rx4, rx5, truey at xrecc, taq, tev, trc, realtime
0,-0.997182484494,0.504814145218,-0.798857645799,-0.0601501945109,0.709137326924,-0.405577826432,0.602066940262,0.19868953221,386.029209654,-0.9971824844936581,0.5048141452177517,-0.798857645799484,-0.060150194510909305,0.709137326924125,-0.40557782643240503,-0.0596308814693,0.003927000000000458,0.0011139999999998373,6.299999999992423e-05,02:47:05  19-05-17
1,0.129119669335,0.30698760206,0.567342008104,0.961376011229,0.697584479571,-0.105177895366,0.526809441346,0.256593830209,496.167632063,0.626983372740755,-0.5977317827706587,0.5764743814623339,0.4911326473887483,-0.11062472259728784,0.3617311544881694,-0.137407998959,0.0031689999999997553,0.001014999999999766,5.000000000032756e-05,02:47:05  19-05-17
2,0.626983372741,-0.597731782771,0.576474381462,0.491132647389,-0.110624722597,0.361731154488,0.451544993496,0.0532211295396,625.348862188,0.626983372740755,-0.5977317827706587,0.5764743814623339,0.4911326473887483,-0.11062472259728784,0.3617311544881694,-0.137407998959,0.0023240000000002148,0.0010090000000002597,4.999999999988347e-05,02:47:05  19-05-17
3,-0.724769956467,0.736650647109,-0.0662127858872,0.696653845216,-0.545601619443,0.00950279746667,0.602066940262,0.265103171101,386.029209654,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.002285999999999788,0.001014999999999766,4.8000000000048004e-05,02:47:05  19-05-17
4,-0.174240305895,-0.793867865302,0.639093853158,-0.835676626287,0.298147300428,-0.183117826175,0.526809441346,-0.0944113520885,496.167632063,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.002285999999999788,0.0010260000000004155,4.900000000018778e-05,02:47:05  19-05-17
5,-0.11028072517,0.565264762877,-0.389558968436,-0.575788801354,0.312787012089,-0.122054421158,0.451544993496,-0.0897079855224,625.348862188,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.002293999999999574,0.001012000000000235,4.8000000000048004e-05,02:47:05  19-05-17
6,0.251251664552,0.527300534815,-0.145270867613,-0.864459208301,0.34805121948,0.974357634873,0.602066940262,0.207095213612,386.029209654,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.0023219999999999352,0.0010010000000000296,4.6999999999908226e-05,02:47:05  19-05-17
7,-0.62570580729,-0.989574093074,-0.728194105516,-0.438405778795,-0.832670709188,-0.650976176375,0.526809441346,0.188972889639,496.167632063,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.0021960000000000868,0.0010119999999997908,5.699999999997374e-05,02:47:05  19-05-17
8,-0.0203075388658,0.892243328235,-0.960440881885,0.168573305237,-0.931259293044,0.19613481285,0.451544993496,0.202649350204,625.348862188,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.0022380000000006284,0.0009250000000000647,4.499999999962867e-05,02:47:05  19-05-17
9,0.122892535225,0.315962143509,0.827707984546,0.797561910281,0.646657763271,-0.988381941632,0.602066940262,0.124185618582,386.029209654,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.0020240000000000258,0.0009099999999997443,4.500000000007276e-05,02:47:05  19-05-17
10,-0.55137634627,0.834385283976,0.576360776976,-0.819446188786,-0.588301353826,-0.0845923839248,0.526809441346,0.149183889099,496.167632063,-0.1742403058950006,-0.7938678653015412,0.6390938531583699,-0.8356766262874324,0.29814730042805415,-0.18311782617517203,-0.195981156285,0.0020449999999998525,0.0009280000000000399,5.699999999997374e-05,02:47:05  19-05-17
11,0.633913497907,-0.326757107499,0.583173990082,0.556558605131,-0.271033064726,-0.938561303534,0.451544993496,0.220815512016,625.348862188,-0.8887075303562808,0.72430767676236,0.7342012016630373,0.2557568704901192,0.42942603794607415,-0.9178049107160777,-0.377690849675,0.0021249999999999325,0.0009399999999999409,4.600000000021254e-05,02:47:05  19-05-17
12,-0.888707530356,0.724307676762,0.734201201663,0.25575687049,0.429426037946,-0.917804910716,0.602066940262,-0.307666656808,386.029209654,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.0022419999999998552,0.001040000000000152,4.900000000018778e-05,02:47:05  19-05-17
13,-0.484522292816,-0.134982149662,0.309567574146,-0.481803238089,-0.824267221239,0.448275351478,0.526809441346,-0.457789610853,496.167632063,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.0022210000000000285,0.0009700000000001374,5.999999999994898e-05,02:47:05  19-05-17
14,-0.551147090522,-0.0291361735608,-0.177074488048,-0.480538045582,0.515006559728,0.458873407273,0.451544993496,-0.427402333784,625.348862188,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.002139000000000113,0.0009909999999999641,4.999999999988347e-05,02:47:05  19-05-17
15,0.528805750158,-0.0827249534839,0.0469063790917,-0.46365779905,-0.694334619938,0.0584753342895,0.602066940262,0.0881660765932,386.029209654,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.0022560000000000358,0.0009369999999999656,5.199999999971894e-05,02:47:05  19-05-17
16,0.584521363406,0.354074064964,0.930315464512,-0.67230990893,0.417633593435,-0.849570998317,0.526809441346,0.24593236313,496.167632063,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.0020459999999999923,0.0009260000000002044,4.500000000007276e-05,02:47:05  19-05-17
17,-0.908557139316,-0.713302940169,0.483183765998,-0.98170036603,-0.0543911723656,-0.383023416544,0.451544993496,-0.316375778173,625.348862188,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.002066999999999819,0.0009389999999998011,4.500000000007276e-05,02:47:05  19-05-17
18,0.48787925851,-0.19283277125,-0.923002188136,-0.436031945883,-0.698275199154,0.383914076737,0.602066940262,0.113870571485,386.029209654,-0.4845222928159145,-0.1349821496621706,0.309567574146036,-0.4818032380889459,-0.8242672212385311,0.4482753514779896,-1.23872878829,0.0021369999999998335,0.0009510000000001462,4.900000000018778e-05,02:47:05  19-05-17
19,-0.3127914871,0.805225353177,0.755787901333,-0.371913678849,0.324158505758,-0.136458126219,0.526809441346,0.0618861977957,496.167632063,-0.5511354976375553,-0.02916222120611689,-0.17710714830056384,-0.48051618147640085,0.5149621500787478,0.45887313925722695,-0.383290856774,0.002250999999999781,0.00100800000000012,4.600000000021254e-05,02:47:05  19-05-17
20,0.666666666667,0.0,-0.296296296296,0.888888888889,0.37037037037,0.666666666667,0.0185185094131,0.00748987783834,1738.35393949,0.6666666666666665,0.0,-0.2962962962962963,0.8888888888888888,0.37037037037037024,0.6666666666666665,-0.00162713866233,5984.195088,0.0034809999997378327,16.189909999999998,02:47:05  19-05-17
21,0.222222222222,-0.0987654320988,0.271604938272,-0.691358024691,0.83950617284,-0.0246913580247,0.00617284348866,-0.0612494975702,1779.32326059,0.22222222222222232,-0.09876543209876543,0.2716049382716048,-0.691358024691358,0.8395061728395063,-0.024691358024691357,-0.0647311630537,2639.3580219999994,0.015268000001015025,18.3722029999999,02:47:05  19-05-17
