n, x0, x1, s, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
75, 0.226523734526, 0.255821436434, 1e-09, [nan], 7.20490861661e-05, 1.0, nan, nan, nan,2.63503813744, 0.000155925750732, 5.98430633545e-05, 16:22:50  04-07-16
76, 0.213415976562, 0.228251113482, 1e-09, [nan], -1.40869750335e-05, 1.0, 0.219783569578, 0.243153990753, 4.04403272359e-05,2.79043483734, 0.000158071517944, 2.22264194489, 16:22:55  04-07-16
77, 0.23553320124, 0.279903131298, 1e-09, [nan], 5.55219767235e-05, 1.0, nan, nan, nan,2.81214404106, 0.000150918960571, 4.6968460083e-05, 16:22:58  04-07-16
78, -0.451259876449, 0.999998118324, 1e-09, [nan], 0.0114427788693, 1.0, nan, nan, nan,2.83800911903, 0.000154972076416, 4.60147857666e-05, 16:23:01  04-07-16
79, 0.159325306102, 0.126956708271, 1e-09, [nan], 1.34905770968e-05, 1.0, nan, nan, nan,2.81913995743, 0.000153064727783, 5.79357147217e-05, 16:23:04  04-07-16
80, -0.427373875934, 0.900811190706, 1e-09, [nan], 0.0101955067471, 1.0, 0.219783569578, 0.242849159173, 3.86500688453e-06,2.7734670639, 0.0001540184021, 2.2577149868, 16:23:09  04-07-16
81, 0.125285779607, 0.0757675828549, 1e-09, [nan], 0.000185746603802, 1.0, nan, nan, nan,2.88621616364, 0.00016188621521, 5.88893890381e-05, 16:23:12  04-07-16
82, 0.198546969466, 0.196209927348, 1e-09, [nan], 1.75380268403e-05, 1.0, nan, nan, nan,2.78652191162, 0.000157117843628, 5.88893890381e-05, 16:23:15  04-07-16
83, 0.419177293434, 0.884519636234, 1e-09, [nan], 0.0013135144551, 1.0, nan, nan, nan,2.74319696426, 0.000154972076416, 5.81741333008e-05, 16:23:17  04-07-16
84, -0.019712442209, -0.0110078070755, 1e-09, [nan], 0.00160125274901, 1.0, 0.219478737997, 0.2429507697, 7.72725593646e-05,3.77276611328, 0.000190019607544, 2.47683286667, 16:23:24  04-07-16
85, 0.216735253772, 0.234020333395, 1e-09, [nan], -4.53734119659e-05, 1.0, nan, nan, nan,3.17962694168, 0.000149965286255, 4.81605529785e-05, 16:23:27  04-07-16
86, 0.216023980084, 0.233500990703, 1e-09, [nan], 1.72036175477e-05, 1.0, nan, nan, nan,3.17715501785, 0.000150918960571, 4.79221343994e-05, 16:23:30  04-07-16
87, 0.185269860624, 0.172229843012, 1e-09, [nan], -2.68688481262e-05, 1.0, nan, nan, nan,4.10429286957, 0.000159025192261, 6.00814819336e-05, 16:23:34  04-07-16
88, 0.400243865264, 0.80688919372, 1e-09, [nan], 0.0010762265561, 1.0, 0.220393232739, 0.2429507697, -3.6535701904e-05,3.13995313644, 0.000160932540894, 2.66900110245, 16:23:40  04-07-16
89, 0.0908398110044, 0.0436925265457, 1e-09, [nan], 0.000235280282447, 1.0, nan, nan, nan,3.07720398903, 0.000153064727783, 5.79357147217e-05, 16:23:43  04-07-16
90, 0.246710359193, 0.307168622669, 1e-09, [nan], 3.90603645483e-05, 1.0, nan, nan, nan,3.15321397781, 0.000152111053467, 5.79357147217e-05, 16:23:46  04-07-16
91, 0.373757387932, 0.705594788509, 1e-09, [nan], 0.000852899133493, 1.0, nan, nan, nan,3.24187493324, 0.000156164169312, 5.60283660889e-05, 16:23:49  04-07-16
92, 0.218552953197, 0.237467564603, 1e-09, [nan], 2.27544642892e-05, 1.0, 0.219783569578, 0.24325560128, -2.23510995184e-05,3.3643040657, 0.000157117843628, 2.75336885452, 16:23:55  04-07-16
93, 0.185642432556, 0.17101051669, 1e-09, [nan], -8.1140964451e-06, 1.0, nan, nan, nan,3.38878297806, 0.000153064727783, 5.79357147217e-05, 16:23:59  04-07-16
94, 0.306355738455, 0.464868160341, 1e-09, [nan], 0.000332999228814, 1.0, nan, nan, nan,3.53570199013, 0.0001540184021, 4.48226928711e-05, 16:24:02  04-07-16
95, -0.249149011838, 0.332672864909, 1e-09, [nan], 0.00626312198123, 1.0, nan, nan, nan,3.50479483604, 0.00016713142395, 6.89029693604e-05, 16:24:06  04-07-16
96, 0.209114464258, 0.217450290813, 1e-09, [nan], -2.79679708176e-05, 1.0, 0.219478737997, 0.2429507697, 3.2389642611e-05,3.57532811165, 0.000149011611938, 3.24224185944, 16:24:13  04-07-16
97, -0.329251977172, 0.568443157378, 1e-09, [nan], 0.00870169932645, 1.0, nan, nan, nan,3.86292791367, 0.000157117843628, 5.79357147217e-05, 16:24:17  04-07-16
98, 0.212772443225, 0.227712954025, 1e-09, [nan], 1.03412553921e-05, 1.0, nan, nan, nan,3.85043287277, 0.0001540184021, 5.91278076172e-05, 16:24:20  04-07-16
99, 0.185642432556, 0.174668077506, 1e-09, [nan], 5.07225273379e-05, 1.0, nan, nan, nan,3.57876801491, 0.000158071517944, 6.00814819336e-05, 16:24:24  04-07-16
100, 0.172839506173, 0.148859421836, 1e-09, [nan], 3.80365908709e-05, 1.0, 0.220393232739, 0.244170096022, 1.66981773341e-05,3.6216878891, 0.000158071517944, 3.78736805916, 16:24:32  04-07-16
